,timestampUTC,filepath,datetime,goes_timestampUTC,goes_tb_filepath,goes_rad_filepath,goes_zones_filepath,goes_timestampPST,modis_timestampUTC,modis_filepath,modis_timestampPST
0,2017-04-21 18:51:07+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00304212017185107_20170422082541_26960_ImageData14.tif,2017-04-21 10:51:07+00:00,2017-04-21 18:50:02+00:00,/storage/GOES/orthorectified/2017/04/21/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M4C14_G16_s20171111845222_e20171111850023_c20171111850035_original_tb.tif,/storage/GOES/orthorectified/2017/04/21/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M4C14_G16_s20171111845222_e20171111850023_c20171111850035_original_Rad.tif,/storage/GOES/orthorectified/2017/04/21/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M4C14_G16_s20171111845222_e20171111850023_c20171111850035_original_zone_labels.tif,2017-04-21 10:50:02+00:00,2017-04-21 18:50:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2017111.1850.061.2017314062948.tif,2017-04-21 10:50:00+00:00
1,2017-05-23 18:51:10+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00305232017185110_20170524170415_26127_ImageData14.tif,2017-05-23 10:51:10+00:00,2017-05-23 18:29:45+00:00,/storage/GOES/orthorectified/2017/05/23/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171431827078_e20171431829451_c20171431829492_original_tb.tif,/storage/GOES/orthorectified/2017/05/23/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171431827078_e20171431829451_c20171431829492_original_Rad.tif,/storage/GOES/orthorectified/2017/05/23/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171431827078_e20171431829451_c20171431829492_original_zone_labels.tif,2017-05-23 10:29:45+00:00,2017-05-23 18:50:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2017143.1850.061.2017314142140.tif,2017-05-23 10:50:00+00:00
2,2017-06-07 06:07:10+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00306072017060710_20170608103007_26281_ImageData14.tif,2017-06-06 22:07:10+00:00,2017-06-07 06:04:56+00:00,/storage/GOES/orthorectified/2017/06/7/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171580602189_e20171580604562_c20171580605006_original_tb.tif,/storage/GOES/orthorectified/2017/06/7/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171580602189_e20171580604562_c20171580605006_original_Rad.tif,/storage/GOES/orthorectified/2017/06/7/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171580602189_e20171580604562_c20171580605006_original_zone_labels.tif,2017-06-06 22:04:56+00:00,2017-06-07 06:05:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2017158.0605.061.2017314235847.tif,2017-06-06 22:05:00+00:00
3,2017-06-07 06:07:19+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00306072017060719_20170608114206_30429_ImageData14.tif,2017-06-06 22:07:19+00:00,2017-06-07 06:04:56+00:00,/storage/GOES/orthorectified/2017/06/7/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171580602189_e20171580604562_c20171580605006_original_tb.tif,/storage/GOES/orthorectified/2017/06/7/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171580602189_e20171580604562_c20171580605006_original_Rad.tif,/storage/GOES/orthorectified/2017/06/7/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171580602189_e20171580604562_c20171580605006_original_zone_labels.tif,2017-06-06 22:04:56+00:00,2017-06-07 06:05:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2017158.0605.061.2017314235847.tif,2017-06-06 22:05:00+00:00
4,2017-06-16 06:01:08+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00306162017060108_20170617112734_28663_ImageData14.tif,2017-06-15 22:01:08+00:00,2017-06-16 06:04:52+00:00,/storage/GOES/orthorectified/2017/06/16/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171670602149_e20171670604522_c20171670604571_original_tb.tif,/storage/GOES/orthorectified/2017/06/16/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171670602149_e20171670604522_c20171670604571_original_Rad.tif,/storage/GOES/orthorectified/2017/06/16/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20171670602149_e20171670604522_c20171670604571_original_zone_labels.tif,2017-06-15 22:04:52+00:00,2017-06-16 06:00:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2017167.0600.061.2017315012504.tif,2017-06-15 22:00:00+00:00
5,2018-03-23 18:51:27+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00303232018185127_20180324090217_12711_ImageData14.tif,2018-03-23 10:51:27+00:00,2018-03-23 18:50:03+00:00,/storage/GOES/orthorectified/2018/03/23/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20180821847261_e20180821850034_c20180821850083_original_tb.tif,/storage/GOES/orthorectified/2018/03/23/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20180821847261_e20180821850034_c20180821850083_original_Rad.tif,/storage/GOES/orthorectified/2018/03/23/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20180821847261_e20180821850034_c20180821850083_original_zone_labels.tif,2018-03-23 10:50:03+00:00,2018-03-23 18:50:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2018082.1850.061.2018083074842.tif,2018-03-23 10:50:00+00:00
6,2018-04-08 18:51:46+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00304082018185146_20180409113518_2804_ImageData14.tif,2018-04-08 10:51:46+00:00,2018-04-08 18:49:59+00:00,/storage/GOES/orthorectified/2018/04/8/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20180981847219_e20180981849591_c20180981850046_original_tb.tif,/storage/GOES/orthorectified/2018/04/8/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20180981847219_e20180981849591_c20180981850046_original_Rad.tif,/storage/GOES/orthorectified/2018/04/8/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20180981847219_e20180981849591_c20180981850046_original_zone_labels.tif,2018-04-08 10:49:59+00:00,2018-04-08 18:50:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2018098.1850.061.2018099073216.tif,2018-04-08 10:50:00+00:00
7,2018-05-17 18:58:31+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00305172018185831_20180518114917_21406_ImageData14.tif,2018-05-17 10:58:31+00:00,2018-05-17 18:59:59+00:00,/storage/GOES/orthorectified/2018/05/17/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20181371857224_e20181371859597_c20181371900038_original_tb.tif,/storage/GOES/orthorectified/2018/05/17/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20181371857224_e20181371859597_c20181371900038_original_Rad.tif,/storage/GOES/orthorectified/2018/05/17/ABI-L1b-RadC/18/C14/OR_ABI-L1b-RadC-M3C14_G16_s20181371857224_e20181371859597_c20181371900038_original_zone_labels.tif,2018-05-17 10:59:59+00:00,2018-05-17 18:55:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2018137.1855.061.2018138100943.tif,2018-05-17 10:55:00+00:00
8,2018-11-26 06:01:19+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00311262018060119_20181128034140_15697_ImageData14.tif,2018-11-25 22:01:19+00:00,2018-11-26 06:04:55+00:00,/storage/GOES/orthorectified/2018/11/26/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20183300602183_e20183300604556_c20183300604599_original_tb.tif,/storage/GOES/orthorectified/2018/11/26/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20183300602183_e20183300604556_c20183300604599_original_Rad.tif,/storage/GOES/orthorectified/2018/11/26/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20183300602183_e20183300604556_c20183300604599_original_zone_labels.tif,2018-11-25 22:04:55+00:00,2018-11-26 06:00:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2018330.0600.061.2018330201439.tif,2018-11-25 22:00:00+00:00
9,2018-12-19 06:07:13+00:00,/storage/spestana/ASTER/AST_L1T/geotiff/T/T_band14_Tuolumne-and-CUES/AST_L1T_00312192018060713_20181220102409_22456_ImageData14.tif,2018-12-18 22:07:13+00:00,2018-12-19 06:04:53+00:00,/storage/GOES/orthorectified/2018/12/19/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20183530602157_e20183530604530_c20183530604573_original_tb.tif,/storage/GOES/orthorectified/2018/12/19/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20183530602157_e20183530604530_c20183530604573_original_Rad.tif,/storage/GOES/orthorectified/2018/12/19/ABI-L1b-RadC/06/C14/OR_ABI-L1b-RadC-M3C14_G16_s20183530602157_e20183530604530_c20183530604573_original_zone_labels.tif,2018-12-18 22:04:53+00:00,2018-12-19 06:05:00+00:00,/storage/MODIS/Tuolumne_MOD021KM/MOD021KM.A2018353.0605.061.2018353211621.tif,2018-12-18 22:05:00+00:00
